Nombre,TimeStamp,Tipo_Registro,Parametros,Accuracy,Precision,Recall,F1_Score,Variables
SVM,20200625-120603,entrenamiento,{Factor C Regularizacion:0.3},0.795,0.765,0.717,0.74,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-120617,entrenamiento,{Factor C Regularizacion:},0.782,0.729,0.667,0.696,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-120637,entrenamiento,{Factor C Regularizacion:},0.782,0.729,0.667,0.696,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-121054,entrenamiento,{Factor C Regularizacion:},0.782,0.729,0.667,0.696,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-121152,entrenamiento,{Factor C Regularizacion:},0.782,0.729,0.667,0.696,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-121321,entrenamiento,{Factor C Regularizacion:},0.782,0.729,0.667,0.696,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-121510,entrenamiento,{Factor C Regularizacion:},0.79,0.733,0.673,0.702,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-121523,entrenamiento,{Factor C Regularizacion:},0.782,0.729,0.667,0.696,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-121624,entrenamiento,{Factor C Regularizacion:},0.782,0.729,0.667,0.696,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-121651,entrenamiento,{Factor C Regularizacion:0.3},0.824,0.827,0.717,0.768,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-121708,entrenamiento,{Factor C Regularizacion:},0.805,0.767,0.673,0.717,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-121711,entrenamiento,{Factor C Regularizacion:},0.801,0.772,0.667,0.716,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-123813,entrenamiento,{Factor C Regularizacion:0.3},0.824,0.827,0.717,0.768,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-123820,entrenamiento,{Factor C Regularizacion:0.3},0.824,0.827,0.717,0.768,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-123834,entrenamiento,{Factor C Regularizacion:0.3},0.824,0.827,0.717,0.768,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-131811,entrenamiento,{Factor C Regularizacion:},0.801,0.772,0.667,0.716,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-132508,entrenamiento,{Factor C Regularizacion:},0.801,0.772,0.667,0.716,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-132828,entrenamiento,{Factor C Regularizacion:},0.801,0.772,0.667,0.716,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-132902,entrenamiento,{Factor C Regularizacion:},0.801,0.772,0.667,0.716,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-132948,entrenamiento,{Factor C Regularizacion:},0.801,0.772,0.667,0.716,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-152331,entrenamiento,{Factor C Regularizacion:},0.801,0.772,0.667,0.716,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-152751,entrenamiento,{Factor C Regularizacion:},0.801,0.772,0.667,0.716,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-153242,entrenamiento,{Factor C Regularizacion:},0.801,0.772,0.667,0.716,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-153400,entrenamiento,{Factor C Regularizacion:},0.801,0.772,0.667,0.716,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-153514,entrenamiento,{Factor C Regularizacion:},0.801,0.772,0.667,0.716,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-153605,entrenamiento,{Factor C Regularizacion:},0.801,0.772,0.667,0.716,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-153636,entrenamiento,{Factor C Regularizacion:},0.801,0.772,0.667,0.716,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-153819,entrenamiento,{Factor C Regularizacion:},0.801,0.772,0.667,0.716,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-154400,entrenamiento,{Factor C Regularizacion:},0.801,0.772,0.667,0.716,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-154607,entrenamiento,{Factor C Regularizacion:},0.801,0.772,0.667,0.716,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-154650,entrenamiento,{Factor C Regularizacion:},0.801,0.772,0.667,0.716,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200625-161257,entrenamiento,{Factor C Regularizacion:},0.801,0.772,0.667,0.716,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200626-104332,entrenamiento,{Factor C Regularizacion:0.3},0.795,0.765,0.717,0.74,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200626-104353,entrenamiento,{Factor C Regularizacion:},0.787,0.73,0.663,0.695,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200626-104356,entrenamiento,{Factor C Regularizacion:},0.779,0.726,0.658,0.691,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200626-105650,entrenamiento,{Factor C Regularizacion:0.3},0.795,0.765,0.717,0.74,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200626-105707,entrenamiento,{Factor C Regularizacion:},0.79,0.733,0.673,0.702,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200626-105710,entrenamiento,{Factor C Regularizacion:},0.782,0.729,0.667,0.696,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200626-105858,entrenamiento,{Factor C Regularizacion:0.3},0.795,0.765,0.717,0.74,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200626-105915,entrenamiento,{Factor C Regularizacion:},0.79,0.733,0.673,0.702,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200626-105918,entrenamiento,{Factor C Regularizacion:},0.779,0.722,0.667,0.693,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200629-093855,entrenamiento,{Factor C Regularizacion:0.3},0.795,0.765,0.717,0.74,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200629-093922,entrenamiento,{Factor C Regularizacion:},0.787,0.73,0.663,0.695,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200629-093925,entrenamiento,{Factor C Regularizacion:},0.779,0.726,0.658,0.691,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200629-094927,entrenamiento,{Factor C Regularizacion:0.3},0.795,0.765,0.717,0.74,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200629-094942,entrenamiento,{Factor C Regularizacion:0.4},0.795,0.765,0.717,0.74,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200629-095018,entrenamiento,{Factor C Regularizacion:0.5},0.795,0.765,0.717,0.74,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200629-095107,entrenamiento,{Factor C Regularizacion:0.5},0.795,0.765,0.717,0.74,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200629-095138,entrenamiento,{Factor C Regularizacion:0.1},0.795,0.765,0.717,0.74,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200629-095211,entrenamiento,{Factor C Regularizacion:0.01},0.74,0.926,0.394,0.552,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200629-095524,entrenamiento,{Factor C Regularizacion:1},0.795,0.765,0.717,0.74,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200629-095602,entrenamiento,{Factor C Regularizacion:1.5},0.795,0.765,0.717,0.74,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200629-095641,entrenamiento,{Factor C Regularizacion:5},0.795,0.765,0.717,0.74,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200629-100109,entrenamiento,{Factor C Regularizacion:5},0.702,0.804,0.354,0.492,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200629-100121,entrenamiento,{Factor C Regularizacion:10},0.702,0.804,0.354,0.492,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200629-100146,entrenamiento,{Factor C Regularizacion:20},0.715,0.828,0.378,0.519,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200629-100210,entrenamiento,{Factor C Regularizacion:25},0.718,0.82,0.394,0.532,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200629-100235,entrenamiento,{Factor C Regularizacion:40},0.756,0.793,0.543,0.645,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200629-100256,entrenamiento,{Factor C Regularizacion:60},0.792,0.763,0.709,0.735,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200629-100327,entrenamiento,{Factor C Regularizacion:80},0.788,0.748,0.724,0.736,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200629-100349,entrenamiento,{Factor C Regularizacion:80},0.785,0.746,0.717,0.731,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200629-100413,entrenamiento,{Factor C Regularizacion:50},0.804,0.811,0.677,0.738,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200629-100501,entrenamiento,{Factor C Regularizacion:},0.828,0.825,0.673,0.742,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
SVM,20200629-100652,entrenamiento,{Factor C Regularizacion:},0.76,0.728,0.573,0.641,Age SibSp Parch Fare clase_cabina clase_pasajero sexo_pasajero puerto Frecuencia_Ticket
